           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
    1925.811275 [0000]  perf[13756]                         0.000      0.000      0.000 
    1925.811292 [0000]  migration/0[18]                     0.000      0.004      0.017 
    1925.811539 [0001]  perf[13756]                         0.000      0.000      0.000 
    1925.811555 [0001]  migration/1[21]                     0.000      0.005      0.016 
    1925.811791 [0002]  perf[13756]                         0.000      0.000      0.000 
    1925.811808 [0002]  migration/2[26]                     0.000      0.004      0.016 
    1925.812079 [0000]  <idle>                              0.000      0.000      0.786 
    1925.812174 [0003]  perf[13756]                         0.000      0.000      0.000 
    1925.813272 [0000]  sleep[13771]                        0.000      0.008      1.193 
    1925.813285 [0000]  rcu_preempt[17]                     0.000      0.569      0.013 
    1925.816701 [0000]  <idle>                              1.206      0.000      3.415 
    1925.816709 [0000]  kworker/0:1-eve[10]                 0.000      0.009      0.008 
    1925.819885 [0001]  <idle>                              0.000      0.000      8.329 
    1925.819901 [0001]  kubelet[1871/1862]                  0.000      0.005      0.016 
    1925.819956 [0001]  <idle>                              0.016      0.000      0.054 
    1925.819962 [0001]  kubelet[1863/1862]                  0.000      0.004      0.006 
    1925.820687 [0000]  <idle>                              0.008      0.000      3.977 
    1925.820693 [0000]  rcu_preempt[17]                     7.401      0.002      0.006 
    1925.820950 [0001]  <idle>                              0.006      0.000      0.987 
    1925.820986 [0001]  kubelet[1871/1862]                  1.049      0.003      0.036 
    1925.821001 [0001]  kubelet[1875/1862]                  0.000      0.028      0.014 
    1925.821014 [0001]  kubelet[1871/1862]                  0.014      0.007      0.013 
    1925.828686 [0000]  <idle>                              0.006      0.000      7.993 
    1925.828690 [0000]  rcu_preempt[17]                     7.993      0.002      0.003 
    1925.830015 [0001]  <idle>                              0.064      0.000      9.001 
    1925.830020 [0001]  kubelet[1863/1862]                 10.052      0.003      0.004 
    1925.848700 [0002]  <idle>                              0.000      0.000     36.892 
    1925.848719 [0002]  kworker/2:1-eve[8022]               0.000      0.010      0.018 
    1925.853063 [0001]  <idle>                              0.004      0.000     23.042 
    1925.853068 [0001]  kubelet[1871/1862]                 32.048      0.003      0.005 
    1925.853749 [0001]  <idle>                              0.005      0.000      0.681 
    1925.853754 [0001]  kubelet[1863/1862]                 23.729      0.003      0.004 
    1925.854120 [0001]  <idle>                              0.004      0.000      0.366 
    1925.854128 [0001]  kubelet[1871/1862]                  1.051      0.003      0.008 
    1925.854134 [0001]  kubelet[1875/1862]                 33.127      0.003      0.005 
    1925.854173 [0001]  kubelet[1871/1862]                  0.005      0.000      0.039 
    1925.863807 [0001]  <idle>                              0.053      0.000      9.634 
    1925.863812 [0001]  kubelet[1863/1862]                 10.053      0.003      0.004 
    1925.869984 [0002]  <idle>                              0.018      0.000     21.264 
    1925.870046 [0002]  gnome-shell[1240]                   0.000      0.005      0.062 
    1925.891187 [0001]  <idle>                              0.004      0.000     27.375 
    1925.891192 [0001]  kubelet[1875/1862]                 37.052      0.003      0.005 
    1925.891907 [0001]  <idle>                              0.005      0.000      0.714 
    1925.891911 [0001]  kubelet[1863/1862]                 28.095      0.003      0.004 
    1925.892245 [0001]  <idle>                              0.004      0.000      0.333 
    1925.892285 [0001]  kubelet[1875/1862]                  1.052      0.003      0.040 
    1925.892293 [0001]  kubelet[1871/1862]                 38.111      0.035      0.007 
    1925.899337 [0001]  <idle>                              0.048      0.000      7.044 
    1925.899343 [0001]  kubelet[1875/1862]                  7.052      0.003      0.005 
    1925.900395 [0001]  <idle>                              0.005      0.000      1.051 
    1925.900554 [0001]  kubelet[1875/1862]                  1.051      0.003      0.159 
    1925.900589 [0003]  <idle>                              0.000      0.000     88.414 
    1925.900594 [0001]  containerd[1101/1006]               0.000      0.011      0.039 
    1925.900606 [0001]  kubelet[1871/1862]                  8.300      0.194      0.012 
    1925.900612 [0003]  containerd[1044/1006]               0.000      0.010      0.023 
    1925.900616 [0001]  kubelet[1875/1862]                  0.052      0.019      0.010 
    1925.900679 [0003]  <idle>                              0.023      0.000      0.066 
    1925.900704 [0003]  containerd[1044/1006]               0.066      0.006      0.025 
    1925.900712 [0001]  containerd[1101/1006]               0.022      0.000      0.095 
    1925.900721 [0001]  kworker/1:1-eve[8804]               0.000      0.012      0.008 
    1925.900724 [0003]  containerd[1118/1006]               0.000      0.021      0.019 
    1925.900757 [0003]  <idle>                              0.045      0.000      0.032 
    1925.900762 [0003]  containerd[1044/1006]               0.052      0.004      0.005 
    1925.900834 [0003]  <idle>                              0.005      0.000      0.071 
    1925.900845 [0003]  containerd[1044/1006]               0.071      0.003      0.011 
    1925.900894 [0001]  containerd[1101/1006]               0.008      0.000      0.173 
    1925.900895 [0003]  containerd[1115/1006]               0.000      0.082      0.049 
    1925.900907 [0003]  containerd[1048/1006]               0.000      0.041      0.011 
    1925.900915 [0003]  <idle>                              0.072      0.000      0.008 
    1925.900920 [0003]  containerd[1044/1006]               0.069      0.006      0.005 
    1925.900929 [0001]  kubelet[1875/1862]                  0.277      0.009      0.034 
    1925.900931 [0003]  containerd[1118/1006]               0.195      0.012      0.011 
    1925.900993 [0003]  <idle>                              0.016      0.000      0.061 
    1925.900998 [0003]  containerd[1044/1006]               0.072      0.003      0.005 
    1925.901001 [0003]  <idle>                              0.005      0.000      0.003 
    1925.901007 [0003]  containerd[1048/1006]               0.094      0.004      0.006 
    1925.901064 [0003]  <idle>                              0.006      0.000      0.056 
    1925.901069 [0001]  containerd[1101/1006]               0.034      0.000      0.140 
    1925.901069 [0003]  containerd[1048/1006]               0.056      0.006      0.004 
    1925.901076 [0003]  containerd[1044/1006]               0.070      0.008      0.006 
    1925.901082 [0001]  kubelet[1871/1862]                  0.462      0.145      0.013 
    1925.901099 [0003]  <idle>                              0.011      0.000      0.023 
    1925.901107 [0003]  containerd[1118/1006]               0.167      0.004      0.007 
    1925.901138 [0001]  kubelet[1875/1862]                  0.153      0.000      0.056 
    1925.901152 [0002]  <idle>                              0.062      0.000     31.106 
    1925.901166 [0003]  <idle>                              0.007      0.000      0.058 
    1925.901170 [0001]  kubelet[1871/1862]                  0.056      0.005      0.031 
    1925.901173 [0002]  kubelet[1866/1862]                  0.000      0.008      0.021 
    1925.901209 [0003]  containerd[1118/1006]               0.058      0.004      0.043 
    1925.901214 [0003]  containerd[1044/1006]               0.133      0.039      0.005 
    1925.901224 [0002]  <idle>                              0.021      0.000      0.050 
    1925.901227 [0001]  kubelet[1875/1862]                  0.031      0.000      0.056 
    1925.901228 [0003]  containerd[1048/1006]               0.145      0.025      0.013 
    1925.901233 [0001]  kubelet[1871/1862]                  0.056      0.004      0.006 
    1925.901238 [0003]  containerd[1118/1006]               0.018      0.007      0.009 
    1925.901241 [0003]  <idle>                              0.071      0.000      0.003 
    1925.901249 [0003]  containerd[1118/1006]               0.003      0.000      0.007 
    1925.901255 [0002]  kubelet[1866/1862]                  0.050      0.005      0.031 
    1925.901287 [0003]  <idle>                              0.007      0.000      0.037 
    1925.901292 [0003]  containerd[1044/1006]               0.072      0.003      0.005 
    1925.901344 [0002]  <idle>                              0.031      0.000      0.088 
    1925.901349 [0002]  kubelet[1866/1862]                  0.088      0.005      0.005 
    1925.901374 [0003]  <idle>                              0.005      0.000      0.081 
    1925.901378 [0001]  kubelet[1875/1862]                  0.006      0.000      0.144 
    1925.901390 [0001]  <idle>                              0.983      0.000      0.011 
    1925.901404 [0001]  kubelet[1871/1862]                  0.156      0.007      0.014 
    1925.901405 [0002]  <idle>                              0.005      0.000      0.055 
    1925.901412 [0002]  kubelet[1866/1862]                  0.055      0.003      0.007 
    1925.901416 [0003]  containerd[1118/1006]               0.124      0.004      0.042 
    1925.901424 [0003]  containerd[1048/1006]               0.187      0.004      0.007 
    1925.901429 [0003]  containerd[1044/1006]               0.131      0.046      0.004 
    1925.901457 [0001]  <idle>                              0.014      0.000      0.052 
    1925.901493 [0001]  containerd[1101/1006]               0.387      0.004      0.036 
    1925.901504 [0003]  containerd[1118/1006]               0.012      0.000      0.075 
    1925.901513 [0003]  containerd[1044/1006]               0.075      0.005      0.009 
    1925.901519 [0002]  <idle>                              0.007      0.000      0.106 
    1925.901521 [0003]  containerd[1048/1006]               0.089      0.009      0.008 
    1925.901536 [0002]  kubelet[1866/1862]                  0.106      0.004      0.016 
    1925.901540 [0003]  containerd[1118/1006]               0.017      0.000      0.019 
    1925.901543 [0001]  kubelet[1871/1862]                  0.089      0.011      0.050 
    1925.901552 [0002]  containerd[1115/1006]               0.640      0.070      0.016 
    1925.901553 [0001]  kubelet[1875/1862]                  0.165      0.017      0.009 
    1925.901557 [0002]  <idle>                              0.032      0.000      0.004 
    1925.901559 [0003]  containerd[1048/1006]               0.019      0.005      0.018 
    1925.901569 [0002]  kubelet[1866/1862]                  0.020      0.010      0.012 
    1925.901586 [0003]  containerd[1118/1006]               0.018      0.000      0.027 
    1925.901591 [0003]  containerd[1044/1006]               0.073      0.004      0.004 
    1925.901729 [0002]  <idle>                              0.012      0.000      0.159 
    1925.901732 [0003]  containerd[1118/1006]               0.004      0.000      0.141 
    1925.901738 [0003]  containerd[1044/1006]               0.141      0.072      0.006 
    1925.901749 [0003]  containerd[1048/1006]               0.179      0.063      0.010 
    1925.901764 [0001]  <idle>                              0.096      0.000      0.210 
    1925.901796 [0002]  kubelet[1866/1862]                  0.159      0.005      0.067 
    1925.901813 [0003]  <idle>                              0.375      0.000      0.063 
    1925.901821 [0003]  containerd[1044/1006]               0.074      0.005      0.007 
    1925.901825 [0003]  <idle>                              0.007      0.000      0.004 
    1925.901834 [0003]  containerd[1048/1006]               0.076      0.005      0.008 
    1925.901838 [0003]  <idle>                              0.008      0.000      0.003 
    1925.901844 [0003]  containerd[1118/1006]               0.105      0.004      0.006 
    1925.901847 [0002]  containerd[1115/1006]               0.244      0.059      0.051 
    1925.901861 [0003]  <idle>                              0.006      0.000      0.016 
    1925.901869 [0003]  containerd[1048/1006]               0.026      0.004      0.008 
